taxon,phylo,state_name,state,total,tail_index,hf_hb,ear,logmass,hb
Macruromys_major,Macruromys_major,T,3,2.232655844,1.161238545,0.035903509,-0.519065645,5.868251169,1.506859352
Malacomys_cansdalei,Malacomys_cansdalei,SA,4,0.34090215,1.164104314,2.468867308,1.59129264,4.403054002,-0.071977155
Malacomys_edwardsi,Malacomys_edwardsi,SA,4,0.017737919,0.887632973,0.952649781,0.993669055,4.117246955,-0.251390394
Malacomys_longipes,Malacomys_longipes,SA,4,0.294499081,0.484313625,1.116455144,1.124399214,4.567156744,0.135163585
Mallomys_aroensis,Mallomys_aroensis,C,2,4.185727878,-0.139368315,-1.318387875,1.367183795,7.457032089,4.26656118
Mallomys_istapantap,Mallomys_istapantap,C,2,3.713410925,-0.746458957,-1.446174851,2.020834592,7.585900491,4.282871475
Mallomys_rothschildi,Mallomys_rothschildi,A,1,3.818646457,0.007690909,-1.452752122,1.292480847,7.054363299,3.777252345
Mammelomys_lanosus,Mammelomys_lanosus,T,3,-0.106556016,-1.007093151,0.244496955,-0.014820745,4.76046307,0.226501235
Mammelomys_rattoides,Mammelomys_rattoides,T,3,0.224894477,-1.701212687,-0.867688222,-0.873904649,5.357764825,0.841399337
Margaretamys_beccarii,Margaretamys_beccarii,A,1,0.150318116,1.271646085,-0.174882361,0.059882203,4.180522258,-0.267700689
Margaretamys_christinae,Margaretamys_christinae,A,1,-0.106556016,1.698344079,-1.175253934,0.90029037,3.891820298,-0.610216873
Margaretamys_elegans,Margaretamys_elegans,A,1,1.167871132,1.379037026,-0.467414311,0.620154314,4.795790546,0.515193447
Margaretamys_parvus,Margaretamys_parvus,A,1,-0.338571362,1.706036408,-0.554484849,1.553941166,3.688879454,-0.789630112
Mastacomys_fuscus,Mastacomys_fuscus,T,3,-0.239136214,-1.480850096,-0.232824985,0.620154314,4.831189598,0.216715058
Mastomys_awashensis,Mastomys_awashensis,T,3,-0.487724084,-0.114933859,-0.708580908,-0.126875168,3.828641396,-0.430803634
Mastomys_coucha,Mastomys_coucha,T,3,-0.943468513,-0.600757203,-0.554484849,-0.350984012,3.747384183,-0.789630112
Mastomys_erythroleucus,Mastomys_erythroleucus,T,3,-0.606217636,-0.33348649,-0.713592162,-0.556417119,4.041998082,-0.496044811
Mastomys_huberti,Mastomys_huberti,T,3,-0.380002674,-0.734543389,-1.162725799,-0.201578116,4.079230924,-0.153528627
Mastomys_kollmannspergeri,Mastomys_kollmannspergeri,T,3,-0.321998837,-0.685372818,-0.819141699,-0.294956801,4.662495253,-0.104597744
Mastomys_natalensis,Mastomys_natalensis,T,3,-0.686594381,0.010707509,-0.351529064,-0.463038434,4.504576071,-0.659147756
Mastomys_pernanus,Mastomys_pernanus,T,3,-1.283205269,-0.61780099,-0.353721487,-0.892580386,2.944438979,-1.148456591
Maxomys_bartelsii,Maxomys_bartelsii,T,3,0.050882968,0.010707509,0.061586185,-0.276281064,4.556295018,0.066660348
Maxomys_dollmani,Maxomys_dollmani,C,2,0.524857174,0.935144415,-1.536064219,-0.276281064,4.787491743,0.171046233
Maxomys_hellwaldii,Maxomys_hellwaldii,T,3,0.717098461,-0.513728308,-1.134850699,0.302666784,5.313205979,0.940892133
Maxomys_hylomyoides,Maxomys_hylomyoides,T,3,-0.440492389,-0.176472488,0.495372856,-0.220253853,4.036008985,-0.367193485
Maxomys_moi,Maxomys_moi,T,3,0.379847583,0.205429004,0.232595227,1.012344792,4.990432587,0.317838884
Maxomys_musschenbroekii,Maxomys_musschenbroekii,T,3,-0.205991165,-0.457167068,0.607812867,0.171936625,4.440295543,-0.047511713
Maxomys_ochraceiventer,Maxomys_ochraceiventer,T,3,0.061655109,0.027902126,-0.156716566,0.171936625,5.068652598,0.071553437
Maxomys_pagensis,Maxomys_pagensis,T,3,0.640036221,-0.340273839,0.024941391,0.694857262,5.278114659,0.789206394
Maxomys_panglima,Maxomys_panglima,T,3,0.836420639,0.086122495,-0.250677577,0.993669055,5.068652598,0.807147718
