Species,state
Maxomys_hellwaldii,T
Maxomys_hylomyoides,T
Maxomys_moi,T
Maxomys_musschenbroekii,T
Maxomys_ochraceiventer,T
Maxomys_pagensis,T
Maxomys_panglima,T
Maxomys_rajah,T
Maxomys_surifer,T
Maxomys_tajuddinii,T
Maxomys_whiteheadi,T
Melasmothrix_naso,T
Melomys_cervinipes,A
Melomys_leucogaster,C
Melomys_rufescens,A
Micaelamys_namaquensis,T
Microhydromys_richardsoni,T
Micromys_minutus,A
Millardia_kathleenae,T
Millardia_meltada,T
Mus_baoulei,T
Mus_booduga,T
Mus_bufo,T
Mus_callewaerti,T
Mus_caroli,T
Mus_cookii,T
Mus_crociduroides,T
Mus_cypriacus,T
Mus_fragilicauda,T
Mus_haussa,T
Mus_indutus,T
Mus_mahomet,T
Mus_mattheyi,T
Mus_minutoides,T
Mus_musculoides,T
Mus_musculus,C
Mus_neavei,T
Mus_pahari,T
Mus_setulosus,T
Mus_sorella,T
Mus_spretus,T
Mus_tenellus,T
Mus_terricolor,T
Mus_triton,T
Musseromys_anacuao,A
Musseromys_beneficus,A
Musseromys_gulantang,A
Musseromys_inopinatus,A
Mylomys_dybowskii,T
Myomyscus_brockmani,T
Myomyscus_verreauxii,T
Nesokia_indica,T
Niviventer_andersoni,C
Niviventer_brahma,C
Niviventer_confucianus,C
Niviventer_coninga,C
Niviventer_cremoriventer,C
Niviventer_culturatus,T
Niviventer_eha,T
Niviventer_excelsior,C
Niviventer_fulvescens,C
Niviventer_hinpoon,T
Niviventer_rapit,C
Niviventer_tenaster,T
Notomys_fuscus,T
Oenomys_hypoxanthus,C
Otomys_angoniensis,T
Otomys_barbouri,T
Otomys_burtoni,T
Otomys_denti,C
Otomys_irroratus,T
Otomys_lacustris,T
Otomys_laminatus,T
Otomys_occidentalis,T
Otomys_orestes,T
Otomys_sloggetti,T
Otomys_tropicalis,T
Otomys_unisulcatus,T
Papagomys_armandvillei,T
Parahydromys_asper,SA
Paramelomys_levipes,T
Paramelomys_platyops,T
Paramelomys_rubex,T
Parotomys_brantsii,C
Parotomys_littledalei,T
Paruromys_dominator,C
