name,state
Hadromys_yunnanensis,3
Halmaheramys_bokimekot,3
Heimyscus_fumosus,3
Hybomys_badius,3
Hybomys_basilii,3
Hybomys_eisentrauti,3
Hybomys_lunaris,3
Hybomys_planifrons,3
Hybomys_rufocanus,3
Hybomys_trivirgatus,3
Hybomys_univittatus,3
Hydromys_hussoni,3
Hyorhinomys_stumpkei,3
Komodomys_rintjanus,3
Lamottemys_okuensis,3
Leggadina_forresti,3
Leggadina_lakedownensis,3
Lemniscomys_barbarus,3
Lemniscomys_bellieri,3
Lemniscomys_griselda,3
Lemniscomys_hoogstraali,3
Lemniscomys_linulus,3
Lemniscomys_macculus,3
Lemniscomys_mittendorfi,3
Lemniscomys_rosalia,3
Lemniscomys_roseveari,3
Lemniscomys_striatus,3
Lemniscomys_zebra,3
Leopoldamys_milleti,3
Leopoldamys_neilli,3
Leopoldamys_siporanus,3
Leptomys_elegans,3
Leptomys_ernstmayri,3
Leptomys_signatus,3
Limnomys_bryophilus,3
Macruromys_elegans,3
Macruromys_major,3
Madromys_blanfordi,3
Malpaisomys_insularis,3
Mammelomys_lanosus,3
Mammelomys_rattoides,3
Mastacomys_fuscus,3
Mastomys_awashensis,3
Mastomys_coucha,3
Mastomys_erythroleucus,3
Mastomys_huberti,3
Mastomys_kollmannspergeri,3
Mastomys_natalensis,3
Mastomys_pernanus,3
Mastomys_shortridgei,3
Maxomys_alticola,3
Maxomys_baeodon,3
Maxomys_bartelsii,3
Maxomys_hellwaldii,3
Maxomys_hylomyoides,3
Maxomys_inas,3
Maxomys_inflatus,3
Maxomys_moi,3
Maxomys_musschenbroekii,3
Maxomys_ochraceiventer,3
Maxomys_pagensis,3
Maxomys_panglima,3
Maxomys_rajah,3
Maxomys_surifer,3
Maxomys_tajuddinii,3
Maxomys_wattsi,3
Maxomys_whiteheadi,3
Melasmothrix_naso,3
Melomys_bannisteri,3
Melomys_bougainville,3
Melomys_caurinus,3
Melomys_cooperae,3
Melomys_frigicola,3
Melomys_howi,3
Melomys_paveli,3
Melomys_rubicola,3
Micaelamys_granti,3
Micaelamys_namaquensis,3
Microhydromys_richardsonii,3
Millardia_gleadowi,3
Millardia_kathleenae,3
Millardia_kondana,3
Millardia_meltada,3
Mirzamys_louiseae,3
Mirzamys_norahae,3
Muriculus_imberbis,3
Mus_baoulei,3
Mus_booduga,3
Mus_bufo,3
Mus_callewaerti,3
Mus_caroli,3
Mus_cervicolor,3
Mus_cookii,3
Mus_crociduroides,3
Mus_cypriacus,3
Mus_famulus,3
Mus_fernandoni,3
Mus_fragilicauda,3
Mus_goundae,3
Mus_haussa,3
Mus_indutus,3
Mus_macedonicus,3
Mus_mahomet,3
Mus_mattheyi,3
Mus_mayori,3
Mus_minutoides,3
Mus_musculoides,3
Mus_neavei,3
Mus_orangiae,3
Mus_oubanguii,3
Mus_pahari,3
Mus_phillipsi,3
Mus_platythrix,3
Mus_saxicola,3
Mus_setulosus,3
Mus_setzeri,3
Mus_shortridgei,3
Mus_sorella,3
Mus_spicilegus,3
Mus_spretus,3
Mus_tenellus,3
Mus_terricolor,3
Mus_triton,3
Mus_vulcani,3
Mylomys_dybowskii,3
Mylomys_rex,3
Myomyscus_angolensis,3
Myomyscus_brockmani,3
Myomyscus_verreauxii,3
Myomyscus_yemeni,3
Nesokia_indica,3
Nesoromys_ceramicus,3
Niviventer_culturatus,3
Niviventer_eha,3
Niviventer_hinpoon,3
Niviventer_niviventer,3
Niviventer_tenaster,3
Notomys_alexis,3
Notomys_amplus,3
Notomys_aquilo,3
Notomys_cervinus,3
Notomys_fuscus,3
Notomys_longicaudatus,3
Notomys_macrotis,3
Notomys_mitchelli,3
Notomys_mordax,3
Notomys_robustus,3
Oenomys_ornatus,3
Otomys_anchietae,3
Otomys_angoniensis,3
Otomys_barbouri,3
Otomys_burtoni,3
Otomys_cuanzensis,3
Otomys_dartmouthi,3
Otomys_irroratus,3
Otomys_jacksoni,3
Otomys_lacustris,3
Otomys_laminatus,3
Otomys_occidentalis,3
Otomys_orestes,3
Otomys_sloggetti,3
Otomys_tropicalis,3
Otomys_typus,3
Otomys_unisulcatus,3
Otomys_uzungwensis,3
Palawanomys_furvus,3
Papagomys_armandvillei,3
Paraleptomys_rufilatus,3
Paraleptomys_sp,3
Paraleptomys_wilhelmina,3
Paramelomys_gressitti,3
Paramelomys_levipes,3
Paramelomys_lorentzii,3
Paramelomys_mollis,3
Paramelomys_moncktoni,3
Paramelomys_naso,3
Paramelomys_platyops,3
Paramelomys_rubex,3
Paramelomys_steini,3
Parotomys_littledalei,3
Paucidentomys_vermidax,3
Paulamys_naso,3
Pelomys_campanae,3
Pelomys_fallax,3
Pelomys_hopkinsi,3
Pelomys_isseli,3
Pelomys_minor,3
Praomys_degraaffi,3
Praomys_derooi,3
Praomys_lukolelae,3
Praomys_obscurus,3
Protochromys_fellowsi,3
Pseudohydromys_berniceae,3
Pseudohydromys_carlae,3
Pseudohydromys_eleanorae,3
Pseudohydromys_ellermani,3
Pseudohydromys_fuscus,3
Pseudohydromys_germani,3
Pseudohydromys_murinus,3
Pseudohydromys_musseri,3
Pseudohydromys_occidentalis,3
Pseudohydromys_patriciae,3
Pseudohydromys_sandrae,3
Pseudomys_albocinereus,3
Pseudomys_apodemoides,3
Pseudomys_auritus,3
Pseudomys_australis,3
Pseudomys_bolami,3
Pseudomys_calabyi,3
Pseudomys_chapmani,3
Pseudomys_delicatulus,3
Pseudomys_desertor,3
